id,title,url
FtWLy7z2ooF48Rcds,Fireside Chat: Innovating at Allianz Benelux with the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/FtWLy7z2ooF48Rcds
rznpAx63d7MLdDbwq,Delivering Successful Business Outcomes with Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/rznpAx63d7MLdDbwq
9fCPuxEwmHcktBcbc,Tech Titans and the Confluence of the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/9fCPuxEwmHcktBcbc
ENA3jBAiBYwLxv56e,Snowflake for Startup: Data CTOs Panel,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/ENA3jBAiBYwLxv56e
jcf7NEd4zFJJpJc3u,How Thermomix are Blending Salesforce and Snowflake Beautifully,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/jcf7NEd4zFJJpJc3u
6oKHQfd8M2bwrCrtn,Accelerating Analytics with Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/6oKHQfd8M2bwrCrtn
LZmXCwCeFdGtBcBG9,Getting Data Into the Right Hands: Your Business and Your Clients,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/LZmXCwCeFdGtBcBG9
Tf7fagDNS5h7TNYte,High-Performance Architectures for Data Applications,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/Tf7fagDNS5h7TNYte
ZeuJCB6mLgxeccpi9,Data-driven Product and Customer Experiences at Sonos,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/ZeuJCB6mLgxeccpi9
jnRCATouFKBamLZK6,Building Extensible Data Pipelines with Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/jnRCATouFKBamLZK6
muexeNdmiQKQP3KnC,Building on Snowflake: Developer’s Chat + Snowflake Labs,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/muexeNdmiQKQP3KnC
